State,Number of Billionaires,Total Worth,
Arkansas,2,131200000000,
California,31,542100000000,
Colorado,1,8700000000,
Connecticut,2,39400000000,
Florida,8,72500000000,
Georgia,3,23600000000,
Hawaii,2,117300000000,
Illinois,3,40900000000,
Kansas,1,60000000000,
Maryland,1,5900000000,
Massachusetts,3,34900000000,
Nebraska,1,118000000000,
Nevada,1,12900000000,
New Jersey,1,6500000000,
New York,17,279400000000,
North Carolina,1,6700000000,
Ohio,1,5800000000,
Oklahoma,3,34400000000,
Oregon,1,47300000000,
Pennsylvania,1,8000000000,
Texas,7,369700000000,
Washington,4,397600000000,
Wisconsin,4,43100000000,
Wyoming,1,7900000000,
