State,Number_of_Billionaires,Total_Worth,Population
Arkansas,2,1.31E+11,2995330
California,31,5.42E+11,38120066
Colorado,1,8700000000,5235100
Connecticut,2,39400000000,3601157
Florida,8,72500000000,19383475
Georgia,3,23600000000,9978939
Hawaii,2,1.17E+11,1399683
Illinois,3,40900000000,12914651
Kansas,1,60000000000,2908933
Maryland,1,5900000000,5903286
Massachusetts,3,34900000000,6656872
Nebraska,1,1.18E+11,1877879
Nevada,1,12900000000,2815039
New Jersey,1,6500000000,8875318
New York,17,2.79E+11,19631599
North Carolina,1,6700000000,9913774
Ohio,1,5800000000,11575704
Oklahoma,3,34400000000,3880520
Oregon,1,47300000000,3922722
Pennsylvania,1,8000000000,12817894
Texas,7,3.70E+11,26538203
Washington,4,3.98E+11,6962578
Wisconsin,4,43100000000,5731663
Wyoming,1,7900000000,587106
